City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,port blair,11.6667,92.75,85.55,76,94,22.57,IN,1683868420
168,mashhad,36.297,59.6062,73.54,49,0,4.61,IR,1683868420
169,waingapu,-9.6567,120.2641,83.55,60,83,15.57,ID,1683868421
170,cellole,41.2048,13.8543,60.24,87,8,5.46,IT,1683868421
171,vilyuysk,63.7553,121.6247,46.13,36,1,4.92,RU,1683867946
172,estes park,40.3772,-105.5217,43.92,96,100,13.0,US,1683868148
173,st ives,50.2086,-5.4875,50.32,92,1,11.54,GB,1683868421
174,mont-dore,-22.2833,166.5833,75.99,99,99,10.87,NC,1683868421
175,chonchi,-42.6128,-73.8092,55.11,99,100,1.81,CL,1683867897
176,comodoro rivadavia,-45.8667,-67.5,60.66,44,0,18.41,AR,1683868354
177,bella vista,36.4295,-94.2316,72.41,88,0,12.66,US,1683868422
178,keta,5.9179,0.9879,82.27,83,31,7.72,GH,1683868015
179,fort saskatchewan,53.7168,-113.2187,57.99,77,69,4.88,CA,1683868422
180,balsas,-7.5325,-46.0356,73.74,83,83,1.34,BR,1683868423
181,rabo de peixe,37.8,-25.5833,60.31,88,75,4.61,PT,1683868423
182,gizo,-8.103,156.8419,84.36,74,57,4.14,SB,1683868011
183,punta del este,-34.9667,-54.95,52.97,93,20,5.75,UY,1683868423
184,kyzyl-mazhalyk,51.1333,90.6,69.33,31,77,12.41,RU,1683868016
185,weno,7.4515,151.8468,87.75,74,75,5.75,FM,1683868029
186,guayaramerin,-10.8368,-65.3614,71.42,94,98,1.88,BO,1683868424
187,baley,51.6,116.6333,54.27,18,33,13.2,RU,1683868424
188,constantia,44.1833,28.65,52.7,61,72,13.09,RO,1683868005
189,saint-julien-les-villas,48.2667,4.1,49.96,93,47,6.91,FR,1683868355
190,lompoc,34.6391,-120.4579,53.94,91,40,11.5,US,1683867909
191,mount gambier,-37.8333,140.7667,60.17,51,3,5.53,AU,1683867917
192,phan rang-thap cham,11.5667,108.9833,88.97,62,100,7.07,VN,1683868425
193,mil'kovo,55.6078,37.7956,59.41,64,55,4.03,RU,1683868425
194,al ghayzah,16.2079,52.176,84.11,62,22,3.09,YE,1683868425
195,yarmouth,41.7057,-70.2286,58.96,83,0,5.99,US,1683867711
196,rundu,-17.9333,19.7667,56.07,45,6,5.99,NA,1683867976
197,ar ruways,24.1103,52.7306,89.29,42,1,2.82,AE,1683868426
198,san patricio,28.017,-97.5169,80.83,95,8,12.55,US,1683867933
199,laojunmiao,39.8333,97.7333,64.85,9,1,9.93,CN,1683867904
200,ermoupolis,37.4423,24.9425,61.5,63,20,16.11,GR,1683868426
201,paita,-5.0892,-81.1144,75.99,79,56,11.21,PE,1683868426
202,kill devil hills,36.0307,-75.676,66.97,75,0,9.22,US,1683868427
203,tindouf,27.6711,-8.1474,75.65,33,0,18.41,DZ,1683867970
204,aykhal,66.0,111.5,33.55,100,100,18.43,RU,1683868427
205,talnakh,69.4865,88.3972,7.21,78,45,10.29,RU,1683867917
206,mersa matruh,31.3525,27.2453,64.69,82,18,10.71,EG,1683868427
207,el porvenir,13.7617,-87.3458,72.73,83,89,3.49,HN,1683868428
208,zeya,53.75,127.2667,65.21,47,100,8.16,RU,1683867915
209,larkird,35.4894,66.6641,67.35,48,6,5.06,AF,1683868428
210,jamestown,42.097,-79.2353,58.64,71,0,3.44,US,1683867985
211,invercargill,-46.4,168.35,51.78,83,97,3.85,NZ,1683867632
212,nar'yan-mar,67.6713,53.087,33.42,100,100,5.75,RU,1683867947
213,san antonio de pale,-1.4014,5.6325,82.44,80,94,10.54,GQ,1683867952
214,saint-paul,-21.0096,55.2707,80.69,81,75,4.03,RE,1683868429
215,uturoa,-16.7333,-151.4333,76.46,90,100,21.36,PF,1683867919
216,san rafael,-34.6177,-68.3301,60.17,57,46,6.62,AR,1683868429
217,paredon,16.0333,-93.8667,83.5,69,77,3.31,MX,1683868429
218,harstad,68.799,16.5293,43.99,100,97,13.0,NO,1683868430
219,burgersdorp,-30.9977,26.3286,48.7,62,91,2.37,ZA,1683868430
220,beloyarskiy,63.7119,66.6722,41.11,56,98,6.04,RU,1683868430
221,vuktyl,63.8567,57.3094,37.45,91,100,11.18,RU,1683868430
222,qaqortoq,60.7167,-46.0333,35.15,85,100,5.19,GL,1683867894
223,wailua homesteads,22.0669,-159.378,74.19,82,75,8.05,US,1683867946
224,saldanha,-33.0117,17.9442,51.85,71,22,31.05,ZA,1683867915
225,mangai,-4.05,19.5333,69.96,83,19,1.5,CD,1683868431
226,qamdo,31.1667,97.2333,34.36,45,100,5.88,CN,1683867897
227,fort mcmurray,56.7268,-111.381,54.41,81,29,1.9,CA,1683868260
228,grand-lahou,5.1367,-5.0242,81.05,87,100,7.0,CI,1683868431
229,santana,-0.0583,-51.1817,77.18,100,0,2.3,BR,1683867945
230,erdenet,49.0333,104.0833,52.66,51,33,10.13,MN,1683868432
231,tsiombe,-25.3,45.4833,73.2,70,47,4.25,MG,1683868432
232,urucara,-2.5364,-57.76,72.72,99,99,0.74,BR,1683868432
233,choma,-16.8065,26.9531,55.56,57,2,4.43,ZM,1683868432
234,akureyri,65.6835,-18.0878,48.22,82,100,15.99,IS,1683868039
235,petoskey,45.3733,-84.9553,56.03,80,0,0.0,US,1683868433
236,kharp,66.8014,65.8081,22.86,92,100,6.31,RU,1683868433
237,sur,22.5667,59.5289,94.84,37,0,3.27,OM,1683868434
238,kapuskasing,49.4169,-82.4331,57.29,82,40,6.91,CA,1683867926
239,okha,53.5739,142.9478,45.5,64,8,4.12,RU,1683867968
240,stony plain,53.5334,-114.0021,56.71,74,44,3.0,CA,1683868434
241,tazovsky,67.4667,78.7,10.49,82,51,9.31,RU,1683868044
242,nieuw amsterdam,5.8833,-55.0833,76.01,92,97,6.4,SR,1683868435
243,sterling,39.0062,-77.4286,64.22,83,0,3.44,US,1683868188
244,baixa grande,-11.9597,-40.1681,68.95,97,98,1.41,BR,1683868435
245,baiti,13.745,-14.7482,79.65,35,57,6.62,SN,1683868435
246,vorgashor,67.5833,63.95,22.62,84,17,7.43,RU,1683867948
247,ascoli satriano,41.2061,15.5615,50.49,85,4,7.58,IT,1683868436
248,acapulco de juarez,16.8634,-99.8901,82.22,74,40,3.44,MX,1683868216
249,east london,-33.0153,27.9116,61.74,94,75,14.97,ZA,1683867989
250,kerikeri,-35.2268,173.9474,59.92,67,10,1.01,NZ,1683867930
